repo,Top-1,Top-5,Top-10,MAP
thospfuller_rcoboldi_testing,0.5714285714285714,1.0,1.0,0.7428571428571429
debinix_openjensen_testing,0.23529411764705882,0.7058823529411765,0.7647058823529411,0.44279978304319073
lucasrmagalhaes_learning-COBOL_testing,0.25,0.5,0.75,0.37687339364607964
IBM_example-health-apis_testing,0.3684210526315789,0.5789473684210527,0.7368421052631579,0.46855881691408
ibmdbbdev_Samples_testing,0.5,0.625,0.625,0.5546302655677655
GaloisGirl_Coding_testing,0.47368421052631576,0.631578947368421,0.6842105263157895,0.5562900037997629
Martinfx_Cobol_testing,0.6,1.0,1.0,0.7666666666666666
neopragma_cobol-unit-test_testing,0.5833333333333334,0.8333333333333334,1.0,0.6808862433862434
shamrice_COBOL-RSS-Reader_testing,0.3157894736842105,0.5263157894736842,0.6842105263157895,0.43351806957070116
bhbandam_AZ-Legacy-Engineering_testing,0.07692307692307693,0.5384615384615384,0.6923076923076923,0.25399877899877904
gbeine_COBOLUnit_testing,0.47058823529411764,0.5882352941176471,0.7058823529411765,0.5479313960519372
DoHITB_CryptoCobol_testing,0.2727272727272727,0.7272727272727273,0.8181818181818182,0.4617079889807163
shamrice_COBOL-Roguelike_testing,0.375,0.75,0.875,0.5508315508599083
dinodev76_COB-FAKER_testing,0.16666666666666666,0.5,0.6666666666666666,0.33022128334628337
seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL_testing,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6962719298245613
etalab_taxe-fonciere_testing,0.3333333333333333,0.5,0.75,0.43379120879120886
