repo_id,file_path,bug_instance_id,bug_type,bug_severity,template_id,injection_site,injected_line_start,injected_line_end,dataset_seed,run_id,notes
seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL/HelloWorld_V1.cbl,RB000001,UNINITIALIZED_DATA_ITEM_USE,HIGH,T_R_UNINIT_01,PROCEDURE-DIVISION,,,42,COBUG_RUNTIME_FINAL_FIXED_V1,NO_MARKERS
seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL/HelloWorld_V1.cbl,RB000002,MISSING_FILE_STATUS_HANDLING,MEDIUM,T_R_FILE_01,PROCEDURE-DIVISION,,,42,COBUG_RUNTIME_FINAL_FIXED_V1,NO_MARKERS
seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL/HelloWorldPunchcard_V1.cob,RB000003,MISSING_FILE_STATUS_HANDLING,MEDIUM,T_R_FILE_01,PROCEDURE-DIVISION,14,16,42,COBUG_RUNTIME_FINAL_FIXED_V1,MARKERS_PRESENT
Martinfx_Cobol,Martinfx_Cobol/DateAndTime.cbl,RB000004,DIVIDE_BY_ZERO_RISK,HIGH,T_R_DIV0_01,PROCEDURE-DIVISION,23,25,42,COBUG_RUNTIME_FINAL_FIXED_V1,MARKERS_PRESENT
Martinfx_Cobol,Martinfx_Cobol/core_basic_window.cbl,RB000005,MISSING_FILE_STATUS_HANDLING,MEDIUM,T_R_FILE_01,PROCEDURE-DIVISION,105,108,42,COBUG_RUNTIME_FINAL_FIXED_V1,MARKERS_PRESENT
Martinfx_Cobol,Martinfx_Cobol/Hello_SQLITE.cbl,RB000006,UNINITIALIZED_DATA_ITEM_USE,HIGH,T_R_UNINIT_01,PROCEDURE-DIVISION,,,42,COBUG_RUNTIME_FINAL_FIXED_V1,NO_MARKERS
Martinfx_Cobol,Martinfx_Cobol/Hello_SQLITE.cbl,RB000007,WRONG_CALCULATION_LOGIC,MEDIUM,T_R_LOGIC_01,PROCEDURE-DIVISION,,,42,COBUG_RUNTIME_FINAL_FIXED_V1,NO_MARKERS
Martinfx_Cobol,Martinfx_Cobol/String.cbl,RB000008,UNINITIALIZED_DATA_ITEM_USE,HIGH,T_R_UNINIT_01,PROCEDURE-DIVISION,20,23,42,COBUG_RUNTIME_FINAL_FIXED_V1,MARKERS_PRESENT
Martinfx_Cobol,Martinfx_Cobol/ForLoop.cbl,RB000009,UNINITIALIZED_DATA_ITEM_USE,HIGH,T_R_UNINIT_01,PROCEDURE-DIVISION,28,30,42,COBUG_RUNTIME_FINAL_FIXED_V1,MARKERS_PRESENT
Martinfx_Cobol,Martinfx_Cobol/ForLoop.cbl,RB000010,UNINITIALIZED_DATA_ITEM_USE,HIGH,T_R_UNINIT_01,PROCEDURE-DIVISION,49,54,42,COBUG_RUNTIME_FINAL_FIXED_V1,MARKERS_PRESENT
Martinfx_Cobol,Martinfx_Cobol/SequentialRead.cbl,RB000011,WRONG_CALCULATION_LOGIC,MEDIUM,T_R_LOGIC_01,PROCEDURE-DIVISION,,,42,COBUG_RUNTIME_FINAL_FIXED_V1,NO_MARKERS
Martinfx_Cobol,Martinfx_Cobol/ConditionNameCondition.cbl,RB000012,INFINITE_LOOP_NON_TERMINATION,HIGH,T_R_LOOP_01,PROCEDURE-DIVISION,25,29,42,COBUG_RUNTIME_FINAL_FIXED_V1,MARKERS_PRESENT
