repo_id,DEAD_CODE_AFTER_STOP_RUN,DIVIDE_BY_ZERO_RISK,INFINITE_LOOP_NON_TERMINATION,MISSING_ELSE_FOR_CRITICAL_CHECK,MISSING_FILE_STATUS_HANDLING,REDUNDANT_GOTO,UNDECLARED_IDENTIFIER_REFERENCE,UNINITIALIZED_DATA_ITEM_USE,UNUSED_DATA_ITEM,WRONG_CALCULATION_LOGIC
GaloisGirl_Coding,0.1453821137547493,0.10931286588311195,0.10228171199560165,0.22641316801309586,0.06373798288404942,0.10697849839925766,0.06481711938977242,0.09586092829704285,0.10966822877526283,0.03444708790630102
IBM_example-health-apis,,0.12536074966192245,0.14294129610061646,0.1465587168931961,0.24919817596673965,0.10381285101175308,0.12161903455853462,0.32119326293468475,0.07718338072299957,0.06741611286997795
Martinfx_Cobol,,0.10435163974761963,0.1703379973769188,0.10280494019389153,0.06880687922239304,0.15846457704901695,0.18411796540021896,0.042389146983623505,0.1561797894537449,0.13611111789941788
abrignoli_COBSOFT,0.023255813866853714,1.0,0.07962700352072716,0.03358752839267254,0.16626398265361786,0.5,0.07631579041481018,0.14538177847862244,0.07689466327428818,0.04517478682100773
bhbandam_AZ-Legacy-Engineering,,0.11533373966813087,0.0555555559694767,0.19948143512010574,0.10101010277867317,0.20459184795618057,0.23373275995254517,,0.08702058345079422,0.0636226013302803
bmcsoftware_vscode-ispw,,0.0799263697117567,0.05650404654443264,,0.10546035692095757,,,0.06433729082345963,0.08584360033273697,0.07965171709656715
debinix_openjensen,,0.20714286714792252,0.08730952069163322,0.19992667436599731,0.10678879916667938,0.2893780767917633,0.18367183208465576,0.05135132931172848,0.19059288501739502,0.10444264113903046
gbeine_COBOLUnit,,0.2232200652360916,0.14480987936258316,,0.05536699295043945,,,0.0845920778810978,,0.052985578775405884
lucasrmagalhaes_learning-COBOL,0.11707036569714546,0.5196167826652527,0.051343368366360664,0.2083132266998291,0.07515428215265274,0.040158938616514206,0.09819988533854485,0.04940417222678661,0.05100656487047672,0.08878817781805992
neopragma_cobol-unit-test,,0.15527674555778503,0.09793991595506668,0.10450141876935959,0.17058531939983368,0.13817023858428001,0.352055087685585,0.05305815488100052,0.1526903212070465,0.0864335335791111
seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,0.05000000074505806,,,,0.3166666775941849,0.17897727340459824,0.4166666716337204,0.1339285746216774,,
thospfuller_rcoboldi,,,,,,,,,,
ve3wwg_cobcurses,0.10805409401655197,0.03560942970216274,0.02571724820882082,0.027963833883404732,0.022885640151798725,0.14474444836378098,0.049612224102020264,0.16514456272125244,0.045396024361252785,0.018911941908299923
z390development_z390,0.1409166231751442,0.03590468131005764,0.05260050483047962,0.06887798756361008,0.04351254366338253,0.08270710334181786,0.05785478837788105,0.04689552076160908,0.05501571297645569,0.04220595583319664
