bug_id,repo_id,bug_type,summary,description,gt_file_path,leakage_free_yes_no,gt_correct_yes_no,bug_type_matches_yes_no,notes
RB000122,lucasrmagalhaes_learning-COBOL,MISSING_FILE_STATUS_HANDLING,File operation fails without proper error handling,"A file read/write path lacks robust status checks, which can cause failures or incorrect behavior when file conditions are unexpected.",lucasrmagalhaes_learning-COBOL/INCLUINDOREGISTRO.cbl,,,,
SB000063,GaloisGirl_Coding,UNUSED_DATA_ITEM,Unused data item increases maintenance risk,"A data item is declared but never referenced, indicating dead state or leftover code that can confuse maintainers and reviewers.",GaloisGirl_Coding/d23b.cob,,,,
SB000250,ve3wwg_cobcurses,UNDECLARED_IDENTIFIER_REFERENCE,Compilation fails due to missing data item declaration,"A referenced data item is not declared in the DATA DIVISION, causing an unknown identifier or compile-time failure during build.",ve3wwg_cobcurses/sdload.cob,,,,
SB000260,abrignoli_COBSOFT,UNUSED_DATA_ITEM,Redundant declaration not used in processing,A declared data item is never used by any statement; this suggests unnecessary data structure and possible incomplete refactoring.,abrignoli_COBSOFT/CS00000M.cbl,,,,
SB000398,debinix_openjensen,UNUSED_DATA_ITEM,Redundant declaration not used in processing,A declared data item is never used by any statement; this suggests unnecessary data structure and possible incomplete refactoring.,debinix_openjensen/stop-printscr.cbl,,,,
RB000106,gbeine_COBOLUnit,MISSING_FILE_STATUS_HANDLING,I/O error not handled in file processing path,"File operations do not handle error/status outcomes adequately, leading to runtime failures under certain file conditions.",gbeine_COBOLUnit/CBU00200.cob,,,,
RB000229,z390development_z390,UNINITIALIZED_DATA_ITEM_USE,Inconsistent output due to uninitialized state usage,"A data item may be used before being assigned a valid value, causing behavior that depends on execution path and leading to inconsistent results.",z390development_z390/TESTSIX1.CBL,,,,
SB000351,lucasrmagalhaes_learning-COBOL,UNUSED_DATA_ITEM,Unused data item increases maintenance risk,"A data item is declared but never referenced, indicating dead state or leftover code that can confuse maintainers and reviewers.",lucasrmagalhaes_learning-COBOL/GERANDORELATORIO.cbl,,,,
SB000372,debinix_openjensen,UNUSED_DATA_ITEM,Unused data item increases maintenance risk,"A data item is declared but never referenced, indicating dead state or leftover code that can confuse maintainers and reviewers.",debinix_openjensen/cgi-edit-profile.cbl,,,,
SB000305,lucasrmagalhaes_learning-COBOL,REDUNDANT_GOTO,Unsafe jump-based flow reduces readability,"Jump-style control flow is used where structured flow would suffice, complicating reasoning about execution paths.",lucasrmagalhaes_learning-COBOL/PROGCOB06.cbl,,,,
SB000166,IBM_example-health-apis,MISSING_ELSE_FOR_CRITICAL_CHECK,Missing else-handling for an important condition,"A conditional check has no corresponding else-path handling, which can lead to silent skipping of required actions when the condition is not met.",IBM_example-health-apis/HCAPDB01.cbl,,,,
SB000538,neopragma_cobol-unit-test,UNDECLARED_IDENTIFIER_REFERENCE,Build error caused by undeclared identifier usage,"The program references a data item that has no corresponding declaration, resulting in a compilation error.",neopragma_cobol-unit-test/CARD1.CBL,,,,
SB000322,lucasrmagalhaes_learning-COBOL,UNUSED_DATA_ITEM,Redundant declaration not used in processing,A declared data item is never used by any statement; this suggests unnecessary data structure and possible incomplete refactoring.,lucasrmagalhaes_learning-COBOL/CLIENTES.cbl,,,,
SB000296,abrignoli_COBSOFT,UNDECLARED_IDENTIFIER_REFERENCE,Build error caused by undeclared identifier usage,"The program references a data item that has no corresponding declaration, resulting in a compilation error.",abrignoli_COBSOFT/ProgramaPrincipal.cbl,,,,
SB000484,z390development_z390,MISSING_ELSE_FOR_CRITICAL_CHECK,Condition lacks alternative-path handling,"A decision point does not define behavior for the opposite condition, leading to incomplete handling of expected scenarios.",z390development_z390/TESTCMP6.CBL,,,,
SB000531,neopragma_cobol-unit-test,REDUNDANT_GOTO,Unnecessary control transfer complicates program flow,"A redundant control transfer changes execution flow unnecessarily, making logic harder to follow and increasing maintenance risk.",neopragma_cobol-unit-test/VIZZBUZZ.CBL,,,,
SB000522,neopragma_cobol-unit-test,MISSING_ELSE_FOR_CRITICAL_CHECK,Condition lacks alternative-path handling,"A decision point does not define behavior for the opposite condition, leading to incomplete handling of expected scenarios.",neopragma_cobol-unit-test/FIZZBUZZ.CBL,,,,
SB000238,ve3wwg_cobcurses,MISSING_ELSE_FOR_CRITICAL_CHECK,Condition lacks alternative-path handling,"A decision point does not define behavior for the opposite condition, leading to incomplete handling of expected scenarios.",ve3wwg_cobcurses/libcobcursex.cob,,,,
SB000505,z390development_z390,DEAD_CODE_AFTER_STOP_RUN,Dead code detected in termination path,Code exists in a path that is not executable due to program termination earlier in the flow.,z390development_z390/TESTFIL1.CBL,,,,
SB000527,neopragma_cobol-unit-test,MISSING_ELSE_FOR_CRITICAL_CHECK,Missing else-handling for an important condition,"A conditional check has no corresponding else-path handling, which can lead to silent skipping of required actions when the condition is not met.",neopragma_cobol-unit-test/CARD2D.CBL,,,,
SB000336,lucasrmagalhaes_learning-COBOL,UNDECLARED_IDENTIFIER_REFERENCE,Build error caused by undeclared identifier usage,"The program references a data item that has no corresponding declaration, resulting in a compilation error.",lucasrmagalhaes_learning-COBOL/ABERTURAARQUIVOS.cbl,,,,
SB000187,ve3wwg_cobcurses,UNUSED_DATA_ITEM,Redundant declaration not used in processing,A declared data item is never used by any statement; this suggests unnecessary data structure and possible incomplete refactoring.,ve3wwg_cobcurses/test002.cob,,,,
RB000246,z390development_z390,MISSING_FILE_STATUS_HANDLING,I/O error not handled in file processing path,"File operations do not handle error/status outcomes adequately, leading to runtime failures under certain file conditions.",z390development_z390/TESTSIX1.CBL,,,,
RB000003,Martinfx_Cobol,MISSING_FILE_STATUS_HANDLING,File operation fails without proper error handling,"A file read/write path lacks robust status checks, which can cause failures or incorrect behavior when file conditions are unexpected.",Martinfx_Cobol/core_basic_window.cbl,,,,
SB000364,debinix_openjensen,UNDECLARED_IDENTIFIER_REFERENCE,Compilation fails due to missing data item declaration,"A referenced data item is not declared in the DATA DIVISION, causing an unknown identifier or compile-time failure during build.",debinix_openjensen/cgi-add-local.cbl,,,,
RB000083,abrignoli_COBSOFT,UNINITIALIZED_DATA_ITEM_USE,Uninitialized value affects conditional behavior,"A decision uses a value that may not have been initialized, so output can vary unpredictably across runs or inputs.",abrignoli_COBSOFT/CS10011C.cbl,,,,
RB000114,gbeine_COBOLUnit,UNINITIALIZED_DATA_ITEM_USE,Inconsistent output due to uninitialized state usage,"A data item may be used before being assigned a valid value, causing behavior that depends on execution path and leading to inconsistent results.",gbeine_COBOLUnit/CBU00080.cob,,,,
SB000030,Martinfx_Cobol,UNDECLARED_IDENTIFIER_REFERENCE,Compilation fails due to missing data item declaration,"A referenced data item is not declared in the DATA DIVISION, causing an unknown identifier or compile-time failure during build.",Martinfx_Cobol/RandomNumbers.cbl,,,,
RB000101,gbeine_COBOLUnit,UNINITIALIZED_DATA_ITEM_USE,Uninitialized value affects conditional behavior,"A decision uses a value that may not have been initialized, so output can vary unpredictably across runs or inputs.",gbeine_COBOLUnit/CTU0S1T2.cob,,,,
SB000196,ve3wwg_cobcurses,UNDECLARED_IDENTIFIER_REFERENCE,Build error caused by undeclared identifier usage,"The program references a data item that has no corresponding declaration, resulting in a compilation error.",ve3wwg_cobcurses/loadtm.cob,,,,
RB000012,Martinfx_Cobol,UNINITIALIZED_DATA_ITEM_USE,Inconsistent output due to uninitialized state usage,"A data item may be used before being assigned a valid value, causing behavior that depends on execution path and leading to inconsistent results.",Martinfx_Cobol/SelectSort.cbl,,,,
SB000437,z390development_z390,UNUSED_DATA_ITEM,Redundant declaration not used in processing,A declared data item is never used by any statement; this suggests unnecessary data structure and possible incomplete refactoring.,z390development_z390/TESTBEC7.CBL,,,,
SB000431,z390development_z390,UNUSED_DATA_ITEM,Unused data item increases maintenance risk,"A data item is declared but never referenced, indicating dead state or leftover code that can confuse maintainers and reviewers.",z390development_z390/TESTCPY1.CBL,,,,
SB000057,GaloisGirl_Coding,REDUNDANT_GOTO,Unsafe jump-based flow reduces readability,"Jump-style control flow is used where structured flow would suffice, complicating reasoning about execution paths.",GaloisGirl_Coding/d15b.cob,,,,
RB000216,z390development_z390,MISSING_FILE_STATUS_HANDLING,File operation fails without proper error handling,"A file read/write path lacks robust status checks, which can cause failures or incorrect behavior when file conditions are unexpected.",z390development_z390/TESTSIX1.CBL,,,,
SB000142,IBM_example-health-apis,MISSING_ELSE_FOR_CRITICAL_CHECK,Condition lacks alternative-path handling,"A decision point does not define behavior for the opposite condition, leading to incomplete handling of expected scenarios.",IBM_example-health-apis/HCP1BA01.cbl,,,,
RB000258,neopragma_cobol-unit-test,WRONG_CALCULATION_LOGIC,Business rule produces wrong output,"A rule or computation is applied incorrectly, leading to wrong results while still running successfully.",neopragma_cobol-unit-test/CARD2D.CBL,,,,
SB000092,GaloisGirl_Coding,DEAD_CODE_AFTER_STOP_RUN,Unreachable statements present after termination,"Statements appear after program termination and can never execute, reducing clarity and possibly hiding intended behavior.",GaloisGirl_Coding/d16a.cob,,,,
SB000101,GaloisGirl_Coding,UNUSED_DATA_ITEM,Redundant declaration not used in processing,A declared data item is never used by any statement; this suggests unnecessary data structure and possible incomplete refactoring.,GaloisGirl_Coding/d01b.cob,,,,
SB000121,bhbandam_AZ-Legacy-Engineering,UNUSED_DATA_ITEM,Unused data item increases maintenance risk,"A data item is declared but never referenced, indicating dead state or leftover code that can confuse maintainers and reviewers.",bhbandam_AZ-Legacy-Engineering/wgrvgdet.cbl,,,,
SB000499,z390development_z390,UNUSED_DATA_ITEM,Unused data item increases maintenance risk,"A data item is declared but never referenced, indicating dead state or leftover code that can confuse maintainers and reviewers.",z390development_z390/TESTBEC8.CBL,,,,
SB000261,abrignoli_COBSOFT,UNUSED_DATA_ITEM,Unused data item increases maintenance risk,"A data item is declared but never referenced, indicating dead state or leftover code that can confuse maintainers and reviewers.",abrignoli_COBSOFT/CS00001M.cbl,,,,
SB000389,debinix_openjensen,MISSING_ELSE_FOR_CRITICAL_CHECK,Condition lacks alternative-path handling,"A decision point does not define behavior for the opposite condition, leading to incomplete handling of expected scenarios.",debinix_openjensen/cgi-list-local.cbl,,,,
RB000079,abrignoli_COBSOFT,WRONG_CALCULATION_LOGIC,Business rule produces wrong output,"A rule or computation is applied incorrectly, leading to wrong results while still running successfully.",abrignoli_COBSOFT/CS00004S.cbl,,,,
SB000476,z390development_z390,UNUSED_DATA_ITEM,Redundant declaration not used in processing,A declared data item is never used by any statement; this suggests unnecessary data structure and possible incomplete refactoring.,z390development_z390/TESTMOV2.CBL,,,,
SB000084,GaloisGirl_Coding,REDUNDANT_GOTO,Unnecessary control transfer complicates program flow,"A redundant control transfer changes execution flow unnecessarily, making logic harder to follow and increasing maintenance risk.",GaloisGirl_Coding/d11a.cob,,,,
RB000092,gbeine_COBOLUnit,UNINITIALIZED_DATA_ITEM_USE,Uninitialized value affects conditional behavior,"A decision uses a value that may not have been initialized, so output can vary unpredictably across runs or inputs.",gbeine_COBOLUnit/SUITE001.cob,,,,
SB000306,lucasrmagalhaes_learning-COBOL,REDUNDANT_GOTO,Unsafe jump-based flow reduces readability,"Jump-style control flow is used where structured flow would suffice, complicating reasoning about execution paths.",lucasrmagalhaes_learning-COBOL/INCLUINDOREGISTRO.cbl,,,,
SB000286,abrignoli_COBSOFT,UNUSED_DATA_ITEM,Unused data item increases maintenance risk,"A data item is declared but never referenced, indicating dead state or leftover code that can confuse maintainers and reviewers.",abrignoli_COBSOFT/CS00100S.cbl,,,,
SB000035,Martinfx_Cobol,UNUSED_DATA_ITEM,Redundant declaration not used in processing,A declared data item is never used by any statement; this suggests unnecessary data structure and possible incomplete refactoring.,Martinfx_Cobol/SelectSort.cbl,,,,
