model,metric,mean_over_seeds,std_over_seeds,best_seed_by_map
IR,mean_top1,0.04699623990537865,0.0,0
IR,mean_top5,0.20446371739464148,0.0,0
IR,mean_top10,0.35144454506891115,0.0,0
IR,mean_mrr,0.1482050009071827,0.0,0
IR,mean_map,0.1482050009071827,0.0,0
IR+LR,mean_top1,0.04679357346945575,0.0,0
IR+LR,mean_top5,0.19739049593252794,0.0,0
IR+LR,mean_top10,0.34297116180615767,0.0,0
IR+LR,mean_mrr,0.14593618921935558,0.0,0
IR+LR,mean_map,0.14593618921935558,0.0,0
IR+RF,mean_top1,0.03582911319764597,0.0,0
IR+RF,mean_top5,0.15566753995205676,0.0,0
IR+RF,mean_top10,0.28820121181862696,0.0,0
IR+RF,mean_mrr,0.12419166868286473,0.0,0
IR+RF,mean_map,0.12419166868286473,0.0,0
