seed,model,test_repo,top1,top5,top10,mrr,map
0,IR,GaloisGirl_Coding,0.05714285746216774,0.30000001192092896,0.48571428656578064,0.19547265768051147,0.19547265768051147
0,IR+LR,GaloisGirl_Coding,0.05714285746216774,0.30000001192092896,0.48571428656578064,0.18771423399448395,0.18771423399448395
0,IR+RF,GaloisGirl_Coding,0.014285714365541935,0.17142857611179352,0.4000000059604645,0.13016952574253082,0.13016952574253082
0,IR,IBM_example-health-apis,0.1147540956735611,0.2786885201931,0.4098360538482666,0.22041134536266327,0.22041134536266327
0,IR+LR,IBM_example-health-apis,0.13114753365516663,0.2786885201931,0.4098360538482666,0.228204607963562,0.228204607963562
0,IR+RF,IBM_example-health-apis,0.06557376682758331,0.19672131538391113,0.31147539615631104,0.1628161370754242,0.1628161370754242
0,IR,Martinfx_Cobol,0.10000000149011612,0.23999999463558197,0.4000000059604645,0.19906805455684662,0.19906805455684662
0,IR+LR,Martinfx_Cobol,0.10000000149011612,0.23999999463558197,0.4000000059604645,0.19932085275650024,0.19932085275650024
0,IR+RF,Martinfx_Cobol,0.03999999910593033,0.2800000011920929,0.36000001430511475,0.17234332859516144,0.17234332859516144
0,IR,abrignoli_COBSOFT,0.032258063554763794,0.17741934955120087,0.25806450843811035,0.11868081241846085,0.11868081241846085
0,IR+LR,abrignoli_COBSOFT,0.032258063554763794,0.16129031777381897,0.27419355511665344,0.11937680095434189,0.11937680095434189
0,IR+RF,abrignoli_COBSOFT,0.016129031777381897,0.09677419066429138,0.22580644488334656,0.08517888188362122,0.08517888188362122
0,IR,bhbandam_AZ-Legacy-Engineering,0.05882352963089943,0.3529411852359772,0.7058823704719543,0.19824156165122986,0.19824156165122986
0,IR+LR,bhbandam_AZ-Legacy-Engineering,0.05882352963089943,0.3235294222831726,0.6764705777168274,0.19039998948574066,0.19039998948574066
0,IR+RF,bhbandam_AZ-Legacy-Engineering,0.029411764815449715,0.29411765933036804,0.5882353186607361,0.17374613881111145,0.17374613881111145
0,IR,bmcsoftware_vscode-ispw,0.05263157933950424,0.2368421107530594,0.3947368562221527,0.1674390286207199,0.1674390286207199
0,IR+LR,bmcsoftware_vscode-ispw,0.05263157933950424,0.21052631735801697,0.3947368562221527,0.15660496056079865,0.15660496056079865
0,IR+RF,bmcsoftware_vscode-ispw,0.07894736528396606,0.21052631735801697,0.3947368562221527,0.18753735721111298,0.18753735721111298
0,IR,debinix_openjensen,0.0517241396009922,0.2586206793785095,0.517241358757019,0.18150673806667328,0.18150673806667328
0,IR+LR,debinix_openjensen,0.0517241396009922,0.2586206793785095,0.5,0.1818915754556656,0.1818915754556656
0,IR+RF,debinix_openjensen,0.06896551698446274,0.12068965286016464,0.32758620381355286,0.15044745802879333,0.15044745802879333
0,IR,gbeine_COBOLUnit,0.0,0.03333333507180214,0.10000000149011612,0.04879831522703171,0.04879831522703171
0,IR+LR,gbeine_COBOLUnit,0.0,0.03333333507180214,0.03333333507180214,0.04756099358201027,0.04756099358201027
0,IR+RF,gbeine_COBOLUnit,0.06666667014360428,0.1666666716337204,0.20000000298023224,0.13801786303520203,0.13801786303520203
0,IR,lucasrmagalhaes_learning-COBOL,0.0476190485060215,0.2261904776096344,0.3333333432674408,0.15395398437976837,0.15395398437976837
0,IR+LR,lucasrmagalhaes_learning-COBOL,0.0476190485060215,0.2142857164144516,0.3333333432674408,0.15374509990215302,0.15374509990215302
0,IR+RF,lucasrmagalhaes_learning-COBOL,0.0595238097012043,0.1428571492433548,0.2976190447807312,0.1384708136320114,0.1384708136320114
0,IR,neopragma_cobol-unit-test,0.11538461595773697,0.26923078298568726,0.5192307829856873,0.22352060675621033,0.22352060675621033
0,IR+LR,neopragma_cobol-unit-test,0.09615384787321091,0.26923078298568726,0.5192307829856873,0.21304933726787567,0.21304933726787567
0,IR+RF,neopragma_cobol-unit-test,0.01923076994717121,0.17307692766189575,0.36538460850715637,0.14915065467357635,0.14915065467357635
0,IR,seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,0.0,0.3333333432674408,0.5,0.2240741103887558,0.2240741103887558
0,IR+LR,seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,0.0,0.3333333432674408,0.5,0.2240741103887558,0.2240741103887558
0,IR+RF,seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,0.0,0.1666666716337204,0.3333333432674408,0.12060174345970154,0.12060174345970154
0,IR,thospfuller_rcoboldi,0.0,0.0,0.0,0.0,0.0
0,IR+LR,thospfuller_rcoboldi,0.0,0.0,0.0,0.0,0.0
0,IR+RF,thospfuller_rcoboldi,0.0,0.0,0.0,0.0,0.0
0,IR,ve3wwg_cobcurses,0.00909090880304575,0.08181817829608917,0.17272727191448212,0.07095055282115936,0.07095055282115936
0,IR+LR,ve3wwg_cobcurses,0.00909090880304575,0.072727270424366,0.16363635659217834,0.06994950026273727,0.06994950026273727
0,IR+RF,ve3wwg_cobcurses,0.0181818176060915,0.036363635212183,0.04545454680919647,0.04798652604222298,0.04798652604222298
0,IR,z390development_z390,0.018518518656492233,0.07407407462596893,0.12345679104328156,0.07275224477052689,0.07275224477052689
0,IR+LR,z390development_z390,0.018518518656492233,0.06790123134851456,0.1111111119389534,0.07121458649635315,0.07121458649635315
0,IR+RF,z390development_z390,0.02469135820865631,0.12345679104328156,0.18518517911434174,0.08221693336963654,0.08221693336963654
