repo_id,DEAD_CODE_AFTER_STOP_RUN,DIVIDE_BY_ZERO_RISK,INFINITE_LOOP_NON_TERMINATION,MISSING_ELSE_FOR_CRITICAL_CHECK,MISSING_FILE_STATUS_HANDLING,REDUNDANT_GOTO,UNDECLARED_IDENTIFIER_REFERENCE,UNINITIALIZED_DATA_ITEM_USE,UNUSED_DATA_ITEM,WRONG_CALCULATION_LOGIC
GaloisGirl_Coding,0.2115463763475418,0.2708333432674408,0.04976851865649223,0.15253295004367828,0.03125,0.23489049077033997,0.21548478305339813,0.15643276274204254,0.18736249208450317,0.2631579041481018
IBM_example-health-apis,,0.19570708274841309,0.11472901701927185,0.1303798258304596,0.37384259700775146,0.3114570379257202,0.22786806523799896,0.04103920981287956,0.35437485575675964,0.0634920671582222
Martinfx_Cobol,,0.0634615421295166,0.05259889364242554,0.16618405282497406,0.11212121695280075,0.3632653057575226,0.23184353113174438,0.059290383011102676,0.24039778113365173,
abrignoli_COBSOFT,0.0555555559694767,,0.024390242993831635,0.05622895434498787,0.12323403358459473,0.5,0.20000000298023224,0.17777778208255768,0.09050339460372925,0.23895275592803955
bhbandam_AZ-Legacy-Engineering,,0.0476190485060215,,0.2373839169740677,0.0476190485060215,0.2063492089509964,0.12353940308094025,,0.2443666160106659,
bmcsoftware_vscode-ispw,,0.09874524921178818,0.04010101035237312,,0.05293363332748413,,,0.264133095741272,0.1805504709482193,0.25722408294677734
debinix_openjensen,,0.045321639627218246,0.5625,0.08201659470796585,0.3017857074737549,0.25158730149269104,0.18620967864990234,0.05012531578540802,0.08957181125879288,0.2909314036369324
gbeine_COBOLUnit,,0.04124866798520088,0.04600409045815468,,0.06384745985269547,,,0.03005164861679077,,0.07292503118515015
lucasrmagalhaes_learning-COBOL,0.12497623264789581,0.10894648730754852,0.04771597310900688,0.05838597193360329,0.4166666865348816,0.37040814757347107,0.1856648176908493,0.40340909361839294,0.08525751531124115,0.05145794525742531
neopragma_cobol-unit-test,,0.26875001192092896,0.08064156025648117,0.1914718747138977,0.3775252401828766,0.23467136919498444,0.20384244620800018,0.0416666679084301,0.30413058400154114,0.043478261679410934
seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,0.0833333358168602,,,,0.0833333358168602,0.5,0.1111111119389534,0.06666667014360428,,
thospfuller_rcoboldi,,,,,,,,,,
ve3wwg_cobcurses,0.12162837386131287,0.02631578966975212,0.06702830642461777,0.05546337366104126,0.027436865493655205,0.1983766257762909,0.04419661685824394,0.13007254898548126,0.045014556497335434,0.07623706012964249
z390development_z390,0.06680095940828323,0.40219154953956604,0.02354276366531849,0.021130414679646492,0.02321259304881096,0.1836732029914856,0.0442514568567276,0.02116594836115837,0.0991840809583664,0.03110772930085659
