repo_id,DEAD_CODE_AFTER_STOP_RUN,DIVIDE_BY_ZERO_RISK,INFINITE_LOOP_NON_TERMINATION,MISSING_ELSE_FOR_CRITICAL_CHECK,MISSING_FILE_STATUS_HANDLING,REDUNDANT_GOTO,UNDECLARED_IDENTIFIER_REFERENCE,UNINITIALIZED_DATA_ITEM_USE,UNUSED_DATA_ITEM,WRONG_CALCULATION_LOGIC
GaloisGirl_Coding,0.21284836530685425,0.27173912525177,0.04976851865649223,0.12942925095558167,0.032258063554763794,0.23509326577186584,0.19676952064037323,0.21284271776676178,0.16683518886566162,0.2631579041481018
IBM_example-health-apis,,0.3623737096786499,0.11472901701927185,0.13316266238689423,0.3586309552192688,0.31178775429725647,0.22638683021068573,0.04103920981287956,0.3538193106651306,0.07323232293128967
Martinfx_Cobol,,0.06071428954601288,0.05309296399354935,0.16719414293766022,0.11146245151758194,0.3632653057575226,0.23138056695461273,0.05856888368725777,0.2416118085384369,
abrignoli_COBSOFT,0.0555555559694767,,0.024390242993831635,0.05622895434498787,0.11698403209447861,0.5,0.1666666716337204,0.1794871836900711,0.09163404256105423,0.24609561264514923
bhbandam_AZ-Legacy-Engineering,,0.0476190485060215,,0.23770880699157715,0.0476190485060215,0.1815192699432373,0.1051020547747612,,0.2480703443288803,
bmcsoftware_vscode-ispw,,0.08529495447874069,0.04097820445895195,,0.053617410361766815,,,0.2640129029750824,0.14999769628047943,0.25722408294677734
debinix_openjensen,,0.045321639627218246,0.5625,0.08201659470796585,0.3017857074737549,0.24861110746860504,0.17779216170310974,0.04904306307435036,0.09100296348333359,0.30911320447921753
gbeine_COBOLUnit,,0.03918468952178955,0.046878643333911896,,0.05770268663764,,,0.03003154881298542,,0.07292503118515015
lucasrmagalhaes_learning-COBOL,0.13902385532855988,0.10894648730754852,0.04693104699254036,0.05276936665177345,0.4194079041481018,0.37040814757347107,0.18304945528507233,0.4018065333366394,0.0816536694765091,0.05145794525742531
neopragma_cobol-unit-test,,0.26875001192092896,0.08064156025648117,0.1914718747138977,0.3775252401828766,0.23467136919498444,0.12983450293540955,0.0416666679084301,0.3014855980873108,0.043478261679410934
seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,0.0833333358168602,,,,0.0833333358168602,0.5,0.1111111119389534,0.06666667014360428,,
thospfuller_rcoboldi,,,,,,,,,,
ve3wwg_cobcurses,0.12302893400192261,0.025641025975346565,0.06708435714244843,0.04899640753865242,0.026112603023648262,0.19587662816047668,0.042664848268032074,0.1302029937505722,0.04507269710302353,0.07947488874197006
z390development_z390,0.07309412211179733,0.400297611951828,0.0245137307792902,0.02107534185051918,0.023246873170137405,0.17498913407325745,0.03847955912351608,0.02019323781132698,0.09619361907243729,0.03233135864138603
