repo_id,DEAD_CODE_AFTER_STOP_RUN,DIVIDE_BY_ZERO_RISK,INFINITE_LOOP_NON_TERMINATION,MISSING_ELSE_FOR_CRITICAL_CHECK,MISSING_FILE_STATUS_HANDLING,REDUNDANT_GOTO,UNDECLARED_IDENTIFIER_REFERENCE,UNINITIALIZED_DATA_ITEM_USE,UNUSED_DATA_ITEM,WRONG_CALCULATION_LOGIC
GaloisGirl_Coding,0.1532125622034073,0.0729166716337204,0.2763157784938812,0.06478041410446167,0.1666666716337204,0.11025869101285934,0.2516773045063019,0.11939571052789688,0.10859428346157074,0.09803921729326248
IBM_example-health-apis,,0.3636991083621979,0.08067810535430908,0.06920751184225082,0.08712303638458252,0.3958927094936371,0.09101708978414536,0.2226107269525528,0.20014670491218567,0.04714912176132202
Martinfx_Cobol,,0.18939393758773804,0.2153637707233429,0.07507426291704178,0.23095238208770752,0.3371635377407074,0.08736970275640488,0.16944444179534912,0.20031309127807617,
abrignoli_COBSOFT,0.024390242993831635,,0.024390242993831635,0.03672671318054199,0.06644628942012787,0.20000000298023224,0.125,0.05265151336789131,0.09073242545127869,0.09333734214305878
bhbandam_AZ-Legacy-Engineering,,0.20000000298023224,,0.13979856669902802,0.20000000298023224,0.34461453557014465,0.11298700422048569,,0.11621896177530289,
bmcsoftware_vscode-ispw,,0.1200534775853157,0.07191572338342667,,0.44302302598953247,,,0.13964441418647766,0.19235672056674957,0.14843137562274933
debinix_openjensen,,0.08393719792366028,0.054982416331768036,0.10482803732156754,0.053771231323480606,0.11865618824958801,0.18114076554775238,0.038074713200330734,0.1941084861755371,0.26074856519699097
gbeine_COBOLUnit,,0.0365612655878067,0.1195320412516594,,0.2299150824546814,,,0.06899812817573547,,0.23873083293437958
lucasrmagalhaes_learning-COBOL,0.15998752415180206,0.04713450372219086,0.05342448875308037,0.14528362452983856,0.040242716670036316,0.22800281643867493,0.09242787212133408,0.285321980714798,0.1875164806842804,0.11654742807149887
neopragma_cobol-unit-test,,0.09100458770990372,0.18398268520832062,0.07636655122041702,0.17322291433811188,0.16595765948295593,0.1330489069223404,0.0555555559694767,0.2343452274799347,0.10833333432674408
seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,0.05263157933950424,,,,0.05263157933950424,0.19607843458652496,0.0833333358168602,0.1428571492433548,,
thospfuller_rcoboldi,,,,,,,,,,
ve3wwg_cobcurses,0.021209049969911575,0.019607843831181526,0.12922951579093933,0.036677949130535126,0.030640404671430588,0.020830195397138596,0.07057308405637741,0.01480659656226635,0.04944097250699997,0.025326767936348915
z390development_z390,0.04085380211472511,0.025647258386015892,0.21212120354175568,0.15312805771827698,0.026422761380672455,0.1306094527244568,0.10410197079181671,0.09728021919727325,0.0670185461640358,0.03168986365199089
