repo_id,DEAD_CODE_AFTER_STOP_RUN,DIVIDE_BY_ZERO_RISK,INFINITE_LOOP_NON_TERMINATION,MISSING_ELSE_FOR_CRITICAL_CHECK,MISSING_FILE_STATUS_HANDLING,REDUNDANT_GOTO,UNDECLARED_IDENTIFIER_REFERENCE,UNINITIALIZED_DATA_ITEM_USE,UNUSED_DATA_ITEM,WRONG_CALCULATION_LOGIC
GaloisGirl_Coding,0.09090909361839294,0.0,0.0,0.0,0.0,0.0714285746216774,0.125,0.0,0.0625,0.0
IBM_example-health-apis,,0.0,0.0,0.0714285746216774,0.25,0.1111111119389534,0.1428571492433548,0.0,0.25,0.0
Martinfx_Cobol,,0.0,0.0,0.09090909361839294,0.0,0.1428571492433548,0.1111111119389534,0.0,0.1818181872367859,
abrignoli_COBSOFT,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.024390242993831635,0.1428571492433548
bhbandam_AZ-Legacy-Engineering,,0.0,,0.1111111119389534,0.0,0.0,0.0,,0.1111111119389534,
bmcsoftware_vscode-ispw,,0.0,0.0,,0.0,,,0.125,0.0,0.20000000298023224
debinix_openjensen,,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.20000000298023224
gbeine_COBOLUnit,,0.0,0.0,,0.0,,,0.0,,0.0
lucasrmagalhaes_learning-COBOL,0.0,0.0,0.0,0.0,0.25,0.1428571492433548,0.06666667014360428,0.25,0.0,0.0
neopragma_cobol-unit-test,,0.0,0.0,0.10000000149011612,0.3333333432674408,0.09090909361839294,0.1428571492433548,0.0,0.20000000298023224,0.0
seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,0.0,,,,0.0,0.0,0.0,0.0,,
thospfuller_rcoboldi,,,,,,,,,,
ve3wwg_cobcurses,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0
z390development_z390,0.0,0.25,0.0,0.0,0.0,0.05263157933950424,0.0,0.0,0.03333333507180214,0.0
