model,metric,mean_over_seeds,std_over_seeds,best_seed_by_map
IR,mean_top1,0.04996084974014333,0.0,0
IR,mean_top5,0.22158616302268846,0.0,0
IR,mean_top10,0.359925063593047,0.0,0
IR,mean_mrr,0.15298172246132577,0.0,0
IR,mean_map,0.15298172246132577,0.0,0
IR+LR,mean_top1,0.04774441270689879,0.0,1
IR+LR,mean_top5,0.2227382364549807,0.0009019218610200214,1
IR+LR,mean_top10,0.3606510949986322,0.0004509607423544384,1
IR+LR,mean_mrr,0.1513631750962564,2.4150520507886895e-05,1
IR+LR,mean_map,0.1513631750962564,2.4150520507886895e-05,1
IR+RF,mean_top1,0.030007653969473073,0.00959540605944247,1
IR+RF,mean_top5,0.14275378321430512,0.011278776448853355,1
IR+RF,mean_top10,0.28304216478552136,0.0004471088214494662,1
IR+RF,mean_mrr,0.11509694850870542,0.01133200020414409,1
IR+RF,mean_map,0.11509694850870542,0.01133200020414409,1
