repo_id,DEAD_CODE_AFTER_STOP_RUN,DIVIDE_BY_ZERO_RISK,INFINITE_LOOP_NON_TERMINATION,MISSING_ELSE_FOR_CRITICAL_CHECK,MISSING_FILE_STATUS_HANDLING,REDUNDANT_GOTO,UNDECLARED_IDENTIFIER_REFERENCE,UNINITIALIZED_DATA_ITEM_USE,UNUSED_DATA_ITEM,WRONG_CALCULATION_LOGIC
GaloisGirl_Coding,0.0,0.0,0.0,0.1818181872367859,0.0,0.0357142873108387,0.0,0.0,0.0,0.0
IBM_example-health-apis,,0.0,0.0,0.0357142873108387,0.125,0.0,0.0357142873108387,0.25,0.0,0.0
Martinfx_Cobol,,0.0,0.0,0.0,0.0,0.0714285746216774,0.1111111119389534,0.0,0.04545454680919647,0.0
abrignoli_COBSOFT,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012195121496915817,0.0
bhbandam_AZ-Legacy-Engineering,,0.0,0.0,0.0,0.0,0.0,0.1428571492433548,,0.0,0.0
bmcsoftware_vscode-ispw,,0.0,0.0,,0.0,,,0.0,0.0,0.0
debinix_openjensen,,0.0,0.0,0.0,0.0,0.1666666716337204,0.1111111119389534,0.0,0.07894736900925636,0.0
gbeine_COBOLUnit,,0.20000000298023224,0.09090909361839294,,0.0,,,0.0,,0.0
lucasrmagalhaes_learning-COBOL,0.0,0.5,0.0,0.0833333358168602,0.0,0.0,0.03333333507180214,0.0,0.0,0.0
neopragma_cobol-unit-test,,0.0,0.0,0.0,0.0,0.04545454680919647,0.1428571492433548,0.0,0.05000000074505806,0.0
seanpm2001_SNU_2D_ProgrammingTools_IDE_COBOL,0.0,,,,0.25,0.0,0.0,0.0,,
thospfuller_rcoboldi,,,,,,,,,,
ve3wwg_cobcurses,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.1428571492433548,0.0,0.0
z390development_z390,0.02500000037252903,0.0,0.0,0.0,0.0,0.05263157933950424,0.0,0.0,0.0,0.0
