model,metric,mean_over_seeds,std_over_seeds,best_seed_by_map
IR,mean_top1,0.05384113134018013,0.0,0
IR,mean_top5,0.20425842968480928,0.0,0
IR,mean_top10,0.35577881761959623,0.0,0
IR,mean_mrr,0.15184567176869937,0.0,0
IR,mean_map,0.15184567176869937,0.0,0
IR+LR,mean_top1,0.04287717078945467,0.0,0
IR+LR,mean_top5,0.1981220921235425,0.0,0
IR+LR,mean_top10,0.363159784248897,0.0,0
IR+LR,mean_mrr,0.14509164754833495,0.0,0
IR+LR,mean_map,0.14509164754833495,0.0,0
IR+RF,mean_top1,0.028457729212407554,0.0,0
IR+RF,mean_top5,0.12134401619966541,0.0,0
IR+RF,mean_top10,0.2619683425873518,0.0,0
IR+RF,mean_mrr,0.10826068371534348,0.0,0
IR+RF,mean_map,0.10826068371534348,0.0,0
